forum_id,flag_count
zLAHDHhgLa,1
yB8cQIICqe,1
x6aiktiAl8,1
wtqb7pNL4e,1
wZKRStVJJe,1
vtC3sLXjDY,1
vWol8k64op,1
vVrwnY76W1,1
uPz5a2NvrG,1
taXJRZs43y,1
syj9VaxutQ,1
st5RaWdLTn,1
sXErPfdA7Q,1
sJUCMYtgIK,1
oueo4cEgSJ,1
okV4KG4kMg,1
nYbOG9EaxD,1
nT4S0wgrwp,1
mU6C04mAJk,1
lKPReKSJio,1
kyHwalUpPu,1
jcx5YIN3Sd,1
jcqBLHFcYA,1
jbicunmyXh,1
jZXjHnzPyk,1
hxExXDMwcc,1
hCsppacsqS,1
gccSE5vDZ7,3
gQUDsNE3Lh,1
fhEkqMyvb0,1
fM7x9Lvb9r,1
eFnBXtZXIH,1
dxCviFd7rj,1
dnQI76LKQy,1
c2xBtTNceS,1
bpArUWbkUF,1
bB32QLrpu4,1
ahVTS392C3,1
aNFWz8zubu,1
Zlm7F7g9FK,1
ZT3yJWAsrq,1
ZQrRDCxfhW,1
Y7kK2HcxDK,1
Y7Wx7usMtc,1
XySNnzF9Ir,1
XEBHsJpFY9,1
VJenYElbmY,1
UNFR2Y6Xx0,1
Tha4jW8er9,1
T9jJsFUGtI,1
T6GJ2Y0dn7,1
Srxf1V2jPa,1
SoypWgmvqP,1
SUAeMJKg6b,1
RubWYFBZbG,1
RYvNvCU109,1
RGmQOhSGp0,1
QwejPcX96r,1
PT6lSdWEgw,1
PBvSGqYCSa,1
OZOrQQBDou,1
OVLnZliSHs,1
O36QcmUEDM,1
O1IEUXd4SI,1
MxhTQC9AYV,1
MMrqu8SD6y,1
MKjGklW9TP,1
KRQADH68fG,1
JyvycLG00G,1
JhzzvJnL9t,1
IgPf3oLp6B,1
I5hTganf3z,1
HtNQXg979A,1
HYxJoAWLgT,1
HKMvR1UaWH,1
EJ4N7PX6dm,1
DQVGhBdAPG,1
CkvfJdb7mw,1
Cc5yhA1PrC,1
CblASBV3d4,1
CEPkRTOlut,1
AfEowGM3qG,1
AYOfbWMRSd,1
ARtBIBAmNR,1
9EYaUfyRYk,1
8xyd9i1XLb,1
87WEkTIVSh,1
7rjkSqMJ5n,1
7cXoueVCoL,1
7UVOFuNk27,1
7H45HfXsJb,1
6pPCKWzYw4,1
4WrqZlEK3K,1
4JpybEffzH,1
3aF1Rv3dHG,1
1WJoJPXwiG,1
1BMj6opwbj,1
16ZOs6YPDT,1
