forum_id,flag_count
zkfyOkBVpz,1
z9d9DsjAPH,1
xw6Szwu4xz,1
xrK3QA9mLo,1
xcGhx9FdxM,1
wqIm0Qsgy0,1
wRhLd65bDt,1
uEJfW3OtUm,1
tfyr2zRVoK,1
td6xbEOPLr,1
tECyQO1QOp,1
tBib2fWr3r,1
tAwjG5bM7H,1
scYa9DYUAy,1
scG0cwftEe,1
sQBGVw5qH9,1
s97ezbqoDZ,1
pvSKVt3EsM,1
o6yTKfdnbA,1
m0RbqrUM26,1
leS8668NJm,1
lRu0dN7BY6,1
konBXvt2iS,1
jtiQ26sCJi,1
jA235JGM09,2
hzND3ZEFg2,1
hI6EPhq70A,1
gzCS252hCO,2
gbOukzirpK,1
f39Q3JyoIi,1
eT1tMdAUoc,1
cx9a4Xvb3l,2
cpUuSV8kRw,1
bfmSc1ETT9,1
aDLmRMb0K9,1
ZejTutd7VY,1
ZOKhtz2Z9X,1
YZSLDEE0mw,1
YDCpf85eXc,1
XGXL1E8Yyo,1
X6TBBsz9qi,1
WHedsAeatp,1
VkUNovXoxx,1
VNjJAWjuEU,1
V5cQH7JbGo,1
V5Oh7Aqfft,1
UvIN8oQ4uI,1
Tt6DrRCgJV,1
Sf9goJtTCE,1
Sf3t6Bth4P,1
S8hg5LpFvz,1
RteNLuc8D9,1
RiSMijlsLT,1
QkLpGxUboF,1
PnbCA4ylIc,1
PU3deePP2S,1
OZEfMD7axv,1
OJ0c6um1An,1
O06z2G18me,1
NnIaEaBfXD,1
NTSbj2otOA,1
LCHmP68Gtj,1
KffE8iXAw7,1
KIPAIy329j,1
KBMOKmX2he,1
JVzeOYEx6d,1
I9xE1Jsjfx,1
I18BXotQ7j,1
HZQZli6amV,1
HPrd17Qvbp,1
GsCTjmYe5v,2
GYjV1M5s0D,1
FsQWxU5TOL,1
Eysb8t3MJ5,2
DDkl9vaJyE,1
Cs74qIBfiq,1
CbsJ53LdKc,1
Bj1QSgiBPP,1
BbIxB4xnbq,1
B7QRV4XXiK,1
9WSxQZ9mG7,1
9B57dEeP3O,2
8GSCaoFot9,1
6OOgw4boZI,1
6EDHfVHicP,1
5GmTI4LNqX,1
4sDHLxKb1L,1
4Sn2vUs0zA,1
4R2Y5B12jm,1
4AQ4Fnemox,1
3PjCt4kmRx,1
3HlULdiKFM,1
38dQv3OwN3,1
2pVogxJyDA,1
1vzF4zWQ1E,1
1aQivXgZKj,1
1DmP6ySKYq,1
08zf7kTOoh,1
